,c1,c2,resume_skill_text
0,73.833786,3.9931507,0
1,73.46097,3.9012134,1
2,73.36045,3.8999345,2
3,-64.60823,-16.531654,2013
4,73.211555,3.891001,3
5,73.01701,3.8745027,4
6,2.0490866,68.93802,2017
7,72.822914,3.8735435,5
8,72.7641,3.8578732,6
9,72.55741,3.8374436,7
10,72.50622,3.8402078,8
11,72.34441,3.8079414,9
12,71.24106,4.4612355,10
13,71.271416,3.5147586,11
14,71.21594,3.8985968,12
15,70.93266,3.7215672,13
16,70.90467,3.7800894,14
17,70.746124,4.3977056,15
18,70.79015,3.8275638,16
19,70.583206,3.6957057,17
20,70.675285,4.330569,18
21,70.43905,3.627751,19
22,70.415764,4.844252,20
23,70.279625,3.6659129,21
24,70.19738,3.6913695,22
25,70.11897,3.5936308,23
26,70.072296,4.0938215,24
27,70.16319,4.675232,25
28,-48.947025,-29.037327,learning
29,70.00079,3.5969672,26
30,69.93265,3.6217752,27
31,69.96451,3.6579266,28
32,69.896385,3.551307,29
33,70.20292,4.9460335,30
34,69.68368,3.6801841,31
35,70.71102,9.404076,32
36,70.76834,9.628893,33
37,70.81676,9.816991,34
38,69.811325,9.583927,35
39,70.85985,9.773552,36
40,70.78556,9.955159,37
41,70.789406,9.969618,38
42,70.84507,10.118004,39
43,-25.566366,-5.733469,description
44,67.9942,10.459661,40
45,70.92968,10.330747,41
46,70.904625,10.2509365,42
47,50.004562,-27.920113,business
48,70.85799,10.470959,43
49,-29.656569,-57.0965,professionals
50,70.16095,10.194088,44
51,-23.277693,19.311623,dummies
52,69.693115,10.080034,45
53,8.559125,-50.765266,enthusiasts
54,71.03183,10.888205,46
55,68.04709,11.487454,60
56,71.10019,10.814415,47
57,70.7432,10.519389,48
58,-59.575134,-6.1889143,5th
59,71.45877,11.020447,49
60,36.78836,-34.28262,block
61,67.83278,10.697464,50
62,71.577835,11.184223,51
63,71.09269,11.368939,52
64,24.661144,-37.10023,behind
65,71.01489,11.533982,53
66,-27.577177,31.83073,sukh
67,71.06047,11.689722,54
68,-3.268743,17.064974,sagar
69,70.27231,11.614558,55
70,70.98827,11.7511015,56
71,71.061134,11.919013,57
72,71.09276,12.083671,58
73,36.737064,-26.050362,deployed
74,71.127014,12.37791,59
75,48.35116,-13.777096,auto
76,-10.120892,18.237638,preprocessing
77,71.12296,12.738933,61
78,27.055935,-33.289444,steps
79,71.28852,12.714959,62
80,3.4074411,-0.1960752,machine
81,71.45234,13.102968,63
82,72.81985,12.530109,64
83,8.862055,-17.665155,mainly
84,72.71042,12.581314,65
85,15.611968,-26.233198,missing
86,72.226265,13.711911,66
87,57.555325,7.346228,value
88,72.259575,13.886646,67
89,-34.766205,-63.793087,treatment
90,72.1647,13.877692,68
91,-7.6333637,22.619505,outlier
92,72.22675,13.952381,69
93,2.0956922,-3.5649154,detection
94,68.190285,11.917609,70
95,-30.812536,17.122137,encoding
96,71.958115,13.978367,71
97,-6.029586,5.568934,scaling
98,71.86016,14.00813,72
99,-39.098316,-42.95682,feature
100,71.471146,14.129725,73
101,9.154125,-24.237015,selection
102,71.417274,14.136943,74
103,-13.763031,14.839146,dimensionality
104,68.34069,12.229942,75
105,29.016375,-14.137293,reduction
106,70.81956,14.647711,76
107,70.66171,14.34231,77
108,1.9605005,0.106544524,automated
109,70.61961,14.541838,78
110,-23.507992,0.940785,classification
111,70.620026,14.81298,79
112,2.4769049,17.670559,regression
113,68.040504,11.849535,80
114,-7.414177,-13.900771,model
115,70.55087,14.841752,81
116,10.127261,2.6569574,linkedin
117,70.52516,14.853715,82
118,25.201334,34.486973,com
119,70.5029,15.013445,83
120,3.8433452,57.935238,aditya
121,70.48293,14.929756,84
122,-7.9587274,44.837437,rathore
123,68.78864,13.208584,85
124,70.20497,15.383004,86
125,70.20838,15.448538,87
126,70.214035,15.451363,88
127,22.687828,-41.319214,time
128,70.31404,15.627869,89
129,24.452015,-41.733074,series
130,68.015236,12.024281,90
131,52.434246,9.900182,forecasting
132,70.20902,15.8244,91
133,70.11435,16.048153,92
134,70.03971,16.249964,93
135,70.029015,16.311735,94
136,69.34793,17.203163,95
137,27.086351,-47.649452,winter
138,70.28866,17.077934,96
139,69.69297,16.83949,97
140,69.544426,17.111137,98
141,-16.73859,12.259201,meta
142,69.604485,16.951998,99
143,43.963764,33.64635,100
144,16.653198,12.241067,extracting
145,58.543728,33.09626,101
146,11.099796,-52.12646,problem
147,58.36353,34.236465,102
148,-23.18502,23.891249,github
149,58.91247,34.07915,103
150,58.36748,34.093063,104
151,57.432137,33.86381,105
152,58.0628,33.88278,106
153,-39.667225,-35.517635,art
154,58.0105,34.124416,107
155,-46.532547,-24.312824,research
156,57.804794,33.80165,108
157,-45.204617,-37.556023,paper
158,57.810577,34.377705,109
159,46.406963,35.70042,110
160,57.860493,34.79272,111
161,8.721425,-19.17439,mixed
162,57.464973,34.572826,112
163,-26.649239,-16.458567,attributes
164,57.641926,34.548557,113
165,57.659527,35.114212,114
166,56.885082,34.261307,115
167,57.534485,34.879913,116
168,57.434765,35.147278,117
169,57.05159,34.931053,118
170,57.073883,35.283554,119
171,45.739758,35.91903,120
172,57.524067,35.61933,121
173,58.12003,35.98557,122
174,57.0102,35.912674,123
175,57.049587,36.075066,124
176,46.320206,36.260635,125
177,56.916153,35.848083,126
178,57.566547,36.12912,127
179,53.521873,35.10978,128
180,56.135727,35.892273,129
181,45.87589,36.223057,130
182,56.366398,36.70745,131
183,60.693115,17.943546,q
184,55.638416,37.301006,132
185,56.548553,37.617855,133
186,55.769695,37.699554,134
187,48.396038,37.022266,135
188,55.77019,37.671978,136
189,56.131176,37.57554,137
190,55.791325,37.626682,138
191,23.437605,-44.472485,weeks
192,55.62287,37.916138,139
193,-12.713711,-40.003983,guidance
